ontology,model,input_modality,checkpoint,split_label,evaluation_split,bin_type,bin,examples,positive_examples,positive_term_assignments,positive_terms,valid_auroc_terms,all_positive_terms,Micro_Fmax,Macro_Fmax,Macro_AUROC,Micro_AUROC,Macro_AUPRC,Micro_AUPRC,Smin
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,2-4_bits,56,56,203,6,5,1,0.37623762371815395,0.8164103475326887,0.6259257611337701,0.9850844865889848,0.7474119183251569,0.2691155303354501,7.155418129356916
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,4-6_bits,12,12,72,11,11,0,0.12499999995078125,0.909090909041818,0.5454545454545454,0.8734752319240847,0.7682096943460579,0.030800282301696846,21.20520409451409
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,<2_bits,38,38,76,2,0,2,0.2120141342523692,0.99999999995,,0.9900316580926,1.0,0.09487581882548157,1.7073341074955912
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,>=6_bits,550,550,4185,200,200,0,0.2760736195859273,0.23543868444971683,0.7401882177438638,0.7569113248052242,0.1593713752221392,0.13247359848402798,41.341274114698564
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,no_positive_terms,98,0,0,0,0,0,,,,,,,
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,30-40%,5,5,39,18,18,0,0.12222222218827777,0.6774250440489378,0.33333333333333337,0.8091656476065592,0.5326388888888889,0.043779021488399635,34.227688195459734
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,40-60%,10,10,58,25,25,0,0.11538461533790269,0.5276609705749855,0.435,0.7244724750987152,0.4312363315696649,0.024445841191865887,33.15416639271313
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,<30%,4,1,7,7,7,0,0.014117647055583668,0.5904761904353016,0.4761904761904763,0.5688441527527459,0.42857142857142855,0.0036966555695296293,14.012696175237132
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,>=60%,61,61,751,61,61,0,0.0768386388185413,0.46336597645988625,0.5263658359735698,0.7754985174946674,0.32980504869975874,0.03284467779843637,66.42658678389238
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,no_hit,674,579,3681,161,161,0,0.25427248038598155,0.22673408535508074,0.7300011038765954,0.7684469494559613,0.149709277172611,0.12639634630304258,28.785143144470194
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,2-4_bits,56,56,203,6,5,1,0.3838383837951184,0.788023433900627,0.5502996745354921,0.9635968151172599,0.7208703631980753,0.31531289574221827,5.659984453000396
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,4-6_bits,12,12,72,11,11,0,0.14953271025238885,0.9636363635867272,0.8181818181818182,0.8994886826357906,0.9072838777384233,0.04877032229832709,21.20520409451409
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,<2_bits,38,38,76,2,0,2,0.15028901732148753,0.99999999995,,0.9863784461152882,1.0,0.06380297580537188,1.7073341074955912
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,>=6_bits,550,550,4185,200,200,0,0.24962901891847494,0.2364867949290627,0.7111569766930711,0.75738028438907,0.17023118574203477,0.14451020571045536,41.129599329412414
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_4409/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,no_positive_terms,98,0,0,0,0,0,,,,,,,
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,30-40%,5,5,39,18,18,0,0.0919540229537257,0.8252645502176847,0.6944444444444444,0.7399162160702095,0.704320987654321,0.025319327692397392,34.227688195459734
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,40-60%,10,10,58,25,25,0,0.06666666666022221,0.7968557757591073,0.7066666666666666,0.6076902286765239,0.7069188712522044,0.04468735556528782,31.7413375958476
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,<30%,4,1,7,7,7,0,0.039999999986980006,0.99999999995,1.0,0.7126534498588771,1.0,0.010614290129758208,14.012696175237132
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,>=60%,61,61,751,61,61,0,0.11403929080203591,0.5147179180481412,0.5864944776365274,0.7935820465991315,0.38411380067818046,0.04840442126931629,66.14887011822938
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,no_hit,674,579,3681,161,161,0,0.033905833540451465,0.23937896547096957,0.7016156669688163,0.7418866378470208,0.16801562167619633,0.01114603172917264,31.161212201415264
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_5501/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,2-4_bits,56,56,203,6,5,1,0.022575497899644647,0.915233608217845,0.7509127013554155,0.7829879307030493,0.8109561079843884,0.007228696585669527,8.624266281671472
