split_threshold,ontology,seed,test_micro_f1_at_validation_threshold,test_micro_fmax,test_macro_fmax,test_micro_aupr,test_macro_aupr,test_micro_auroc,test_macro_auroc,test_smin,validation_threshold,test_micro_fmax_diagnostic,test_micro_fmax_threshold_diagnostic,test_examples,test_classes,learning_rate,weight_decay,dropout,hidden_dim,batch_size,loss,checkpoint
50,biological_process,2207,0.0879135628481309,0.0931620288134183,0.1851376739482348,0.032076705878303,0.1125388559054016,0.7385202326029913,0.6419391587587195,59.22838467265213,0.7992269992828369,0.0931620288614764,0.7356714010238647,754,2193,1.961154488169495e-05,0.0004610239017883,0.0,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/biological_process/seed_2207/best_checkpoint.pt
50,biological_process,3301,0.0342644832805834,0.053287772392447,0.1625896423502511,0.0138639055814695,0.0960233260946036,0.5806532271898153,0.5886292228395567,59.66431951445041,0.9280064702033995,0.0532877724413238,0.8665511012077332,754,2193,1.961154488169495e-05,0.0004610239017883,0.0,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/biological_process/seed_3301/best_checkpoint.pt
50,biological_process,4409,0.0780599799110345,0.1080290592956539,0.2164562332632252,0.0380915530140029,0.1260361078618612,0.7645689264182728,0.6932762539845236,59.37758536214085,0.8790398836135864,0.1080290593447255,0.6883059740066528,754,2193,1.961154488169495e-05,0.0004610239017883,0.0,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/biological_process/seed_4409/best_checkpoint.pt
50,biological_process,5501,0.0866212215107071,0.1033150659827329,0.1823582936066987,0.0426443124732372,0.1016807988203753,0.779957262250667,0.6401535297423546,59.462275616851294,0.8084478974342346,0.1033150660313123,0.4868934750556946,754,2193,1.961154488169495e-05,0.0004610239017883,0.0,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/biological_process/seed_5501/best_checkpoint.pt
50,cellular_component,1103,0.4761344043063207,0.48583367768478,0.3430233298285307,0.4510195207287397,0.2569931299319315,0.783754513806677,0.5945886321431514,35.194309904556846,0.25692880153656,0.4858336777329023,0.5510138869285583,754,318,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/cellular_component/seed_1103/best_checkpoint.pt
50,cellular_component,2207,0.4389052213158875,0.4396705442315365,0.3320618213579863,0.3801837301519811,0.2560550419385818,0.7735659402874167,0.5613599014880496,38.05774201233302,0.348327100276947,0.4396705442807292,0.3937287330627441,754,318,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/cellular_component/seed_2207/best_checkpoint.pt
50,cellular_component,3301,0.4656315496813379,0.4667053726452951,0.3400004850720874,0.423494763121766,0.2531369523262967,0.7663912700183132,0.5618349353237673,37.00888297487194,0.2879342138767242,0.4667053726938952,0.3852210640907287,754,318,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/cellular_component/seed_3301/best_checkpoint.pt
50,cellular_component,4409,0.4612611028053821,0.4683981627757255,0.3428409913809048,0.4070558567117278,0.2621479922081695,0.7880971488291635,0.5949926284752182,36.42933278318517,0.4720257818698883,0.4683981628251722,0.2910737693309784,754,318,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/cellular_component/seed_4409/best_checkpoint.pt
50,cellular_component,5501,0.4537257121297868,0.4622963570655578,0.3673903301553833,0.3926145524971203,0.2688003379217215,0.7873439629760651,0.6269979950236848,36.630938494828975,0.1439770460128784,0.4622963571145819,0.4029375314712524,754,318,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/cellular_component/seed_5501/best_checkpoint.pt
70,molecular_function,1103,0.5137431284357821,0.5189781776316874,0.4735781367992657,0.4634563674205568,0.4060462278007721,0.8857159315758433,0.7746489169001307,19.49305503616,0.4790296852588653,0.5189781776807537,0.5187941193580627,754,1052,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/molecular_function/seed_1103/best_checkpoint.pt
70,molecular_function,2207,0.4796282286825893,0.4866227219352969,0.4675447155362003,0.4302834577256222,0.4135709660481039,0.8738696537671411,0.7488710551476808,21.02996997153644,0.4969401359558105,0.4866227219847659,0.3974939882755279,754,1052,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/molecular_function/seed_2207/best_checkpoint.pt
70,molecular_function,3301,0.4492492492492491,0.4962245885269882,0.4708582350817154,0.4478211877682898,0.4106145256407774,0.8942223364957893,0.7576953460098643,21.15080019918654,0.6506596207618713,0.4962245885764606,0.4335985779762268,754,1052,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/molecular_function/seed_3301/best_checkpoint.pt
70,molecular_function,4409,0.5179921037789057,0.5378202520852957,0.4622036696132025,0.4842951961202546,0.3926866996784743,0.9030602045062156,0.8319485505778594,19.180549451446893,0.5314217209815979,0.537820252134517,0.3953196108341217,754,1052,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/molecular_function/seed_4409/best_checkpoint.pt
70,molecular_function,5501,0.4725554343874953,0.495575221189326,0.449942414448061,0.4239389816908022,0.3773331397541874,0.8744940615661478,0.7825237001581883,19.51075814722501,0.6893428564071655,0.4955752212384419,0.5679378509521484,754,1052,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/molecular_function/seed_5501/best_checkpoint.pt
70,biological_process,1103,0.0651966789165645,0.0801836313486088,0.1571424520556486,0.0269746970662638,0.0905472480204068,0.7750595503751061,0.4936112652278507,53.77760010712659,0.6780925393104553,0.0801836313721892,0.4507134258747101,754,2193,0.0017191305740823,3.436940900365306e-05,0.4,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/biological_process/seed_1103/best_checkpoint.pt
70,biological_process,2207,0.114324791825898,0.119106359606704,0.1799309764840199,0.0421152285293301,0.1102468705159487,0.8047388492203947,0.609245781861526,53.66941454298916,0.5736299753189087,0.1191063596486986,0.5289287567138672,754,2193,0.0017191305740823,3.436940900365306e-05,0.4,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/biological_process/seed_2207/best_checkpoint.pt
70,biological_process,3301,0.0928002307387244,0.0996445057070328,0.1542239687031127,0.0348825160466241,0.0915736443786641,0.7565660712449438,0.5234868212331564,53.47180087710208,0.6629627346992493,0.0996445057563858,0.7417213916778564,754,2193,0.0017191305740823,3.436940900365306e-05,0.4,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_70/five_seed_hybrid/biological_process/seed_3301/best_checkpoint.pt
