evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,biological_process,GAT,full,homology,<30%,Micro_Fmax,26,ok,5,0.0838633019815412,0.018070390483277642,0.0853371051228516,0.0550940095919962,0.105128205113356
test,biological_process,GAT,full,homology,<30%,Smin,26,ok,5,71.60857390136562,0.06708730309440745,71.63857625539487,71.48856448524865,71.63857625539487
test,biological_process,GAT,full,homology,>=60%,Macro_AUPRC,31,ok,5,0.643472184583233,0.08126127608041846,0.6703338671485626,0.5545420947089286,0.7509237798186463
test,biological_process,GAT,full,homology,>=60%,Macro_AUROC,31,ok,5,0.39002054098153593,0.09785907865781951,0.3938329430132709,0.2831772053083529,0.5405021773026296
test,biological_process,GAT,full,homology,>=60%,Macro_Fmax,31,ok,5,0.8257277504534221,0.05855997526856107,0.807631005572897,0.7677856628679326,0.9037111042767692
test,biological_process,GAT,full,homology,>=60%,Micro_AUPRC,31,ok,5,0.021724778632777463,0.0029755785827429437,0.0208710707925406,0.0194555675425474,0.0269358878335671
test,biological_process,GAT,full,homology,>=60%,Micro_AUROC,31,ok,5,0.6596229486005523,0.0330331383735677,0.6468240518360274,0.632747374698946,0.709853500152229
test,biological_process,GAT,full,homology,>=60%,Micro_Fmax,31,ok,5,0.054400254710099835,0.006708131223168329,0.0505461213274933,0.0485862206056048,0.0642835686130565
test,biological_process,GAT,full,homology,>=60%,Smin,31,ok,5,226.54688466300823,1.1917680201407452,225.98717311505348,225.98717311505348,228.6771235985715
test,biological_process,GAT,full,homology,no_hit,Macro_AUPRC,612,ok,5,0.10913202634059187,0.008343484583658418,0.1123643412897666,0.0994783820005024,0.1196266385535976
test,biological_process,GAT,full,homology,no_hit,Macro_AUROC,612,ok,5,0.6820688648937547,0.012136635566544547,0.6809827550293301,0.6712372187973803,0.7019419193547679
test,biological_process,GAT,full,homology,no_hit,Macro_Fmax,612,ok,5,0.20749403970790153,0.010902008117233299,0.2080511642846774,0.1950892251672022,0.2244029307120847
test,biological_process,GAT,full,homology,no_hit,Micro_AUPRC,612,ok,5,0.01795890213838336,0.0020879424655552955,0.0185581624402645,0.0148076700115126,0.0204956006877613
test,biological_process,GAT,full,homology,no_hit,Micro_AUROC,612,ok,5,0.6618849648787559,0.014448362511642653,0.6678190892685869,0.6361268792512327,0.67028126133886
test,biological_process,GAT,full,homology,no_hit,Micro_Fmax,612,ok,5,0.046134801221070984,0.003681979008411005,0.0455492657028548,0.0415979365718334,0.0514611284507656
test,biological_process,GAT,full,homology,no_hit,Smin,612,ok,5,93.59210323858835,0.056918266142589734,93.6029886687322,93.53145684666202,93.65186336186788
test,biological_process,GAT,full,ic,2-4_bits,Macro_AUPRC,10,ok,5,0.9168700396825397,0.0758896032381314,0.8621527777777778,0.8604332010582011,1.0
test,biological_process,GAT,full,ic,2-4_bits,Macro_AUROC,10,ok,5,0.7,0.27386127875258304,0.5,0.5,1.0
test,biological_process,GAT,full,ic,2-4_bits,Macro_Fmax,10,ok,5,0.9777777777279013,0.020286020648226714,0.9629629629131689,0.9629629629131689,0.99999999995
test,biological_process,GAT,full,ic,2-4_bits,Micro_AUPRC,10,ok,5,0.00835381101988094,0.003228898176718322,0.0078251746797214,0.0041332409111335,0.0129383313899986
test,biological_process,GAT,full,ic,2-4_bits,Micro_AUROC,10,ok,5,0.8635493375970762,0.04082593933299407,0.8690634993147556,0.7943421653723162,0.898533576975788
test,biological_process,GAT,full,ic,2-4_bits,Micro_Fmax,10,ok,5,0.0293615184504391,0.010544944895571177,0.0306204673618569,0.0134318334434904,0.0423529411718754
test,biological_process,GAT,full,ic,2-4_bits,Smin,10,ok,5,20.08496676716088,18.43169040498204,12.120758833379924,10.808560347557068,52.98782251392412
test,biological_process,GAT,full,ic,4-6_bits,Macro_AUPRC,16,ok,5,0.5032767492923742,0.13429210722631124,0.4870070684523809,0.3399110293641543,0.7146452794890295
test,biological_process,GAT,full,ic,4-6_bits,Macro_AUROC,16,ok,5,0.5765141369047619,0.1337743598982503,0.5126488095238095,0.4415178571428571,0.7796316964285714
