evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,cellular_component,GAT,full,homology,<30%,Smin,26,ok,5,2.518836468458176,0.0,2.518836468458176,2.518836468458176,2.518836468458176
test,cellular_component,GAT,full,homology,>=60%,Smin,31,ok,5,94.9254412651062,0.0,94.9254412651062,94.9254412651062,94.9254412651062
test,cellular_component,GAT,full,homology,no_hit,Smin,612,ok,5,27.83450414489949,0.3188467795642935,27.96358490648434,27.351492707420302,28.09091206112343
test,cellular_component,GAT,full,ic,2-4_bits,Smin,71,ok,5,13.022527884309984,0.32138406290659666,13.246132286501602,12.548992901488573,13.246132286501602
test,cellular_component,GAT,full,ic,4-6_bits,Smin,89,ok,5,26.472909706086977,0.2503260034480177,26.64288141084521,26.087616852750006,26.64288141084521
test,cellular_component,GAT,full,ic,<2_bits,Smin,22,ok,5,2.549207931215113,0.0,2.549207931215113,2.549207931215113,2.549207931215113
test,cellular_component,GAT,full,ic,>=6_bits,Smin,341,ok,5,55.86703756270678,0.6177075864468964,56.2959413400843,54.95310127253756,56.29602523290508
test,cellular_component,GAT,full,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,GAT,seq_only,homology,30-40%,Smin,80,ok,5,26.353044830515927,1.4024629437867246,27.007173724472523,23.846147584225925,27.01921489970572
test,cellular_component,GAT,seq_only,homology,40-60%,Smin,5,low support,5,37.32294523639493,4.56592913902108,38.84300991425776,29.336411676329977,40.86636939048767
test,cellular_component,GAT,seq_only,homology,<30%,Smin,26,ok,5,2.518836468458176,0.0,2.518836468458176,2.518836468458176,2.518836468458176
test,cellular_component,GAT,seq_only,homology,>=60%,Smin,31,ok,5,83.08833507473551,26.355674007153173,94.9254412651062,35.942132350264664,94.9254412651062
test,cellular_component,GAT,seq_only,homology,no_hit,Smin,612,ok,5,27.77305163507746,0.2979340915042199,27.75404310426909,27.334143959562844,28.053880028652188
test,cellular_component,GAT,seq_only,ic,2-4_bits,Smin,71,ok,5,13.012842682343896,0.3007575708439603,13.200875335406728,12.644562590788889,13.246132286501602
test,cellular_component,GAT,seq_only,ic,4-6_bits,Smin,89,ok,5,26.16814958990961,0.9977822186030139,26.64288141084521,24.38553792597773,26.64288141084521
test,cellular_component,GAT,seq_only,ic,<2_bits,Smin,22,ok,5,2.549207931215113,0.0,2.549207931215113,2.549207931215113,2.549207931215113
test,cellular_component,GAT,seq_only,ic,>=6_bits,Smin,341,ok,5,55.12128238711553,1.8497881391686795,55.63124925668705,51.87114666764592,56.2959413400843
test,cellular_component,GAT,seq_only,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,GAT,struct_only,homology,30-40%,Smin,80,ok,5,26.657951930429626,0.7808836707043475,27.007173724472523,25.26106475425804,27.007173724472523
test,cellular_component,GAT,struct_only,homology,40-60%,Smin,5,low support,5,40.38734772597739,1.071125004540075,40.86636939048767,38.47126106793629,40.86636939048767
test,cellular_component,GAT,struct_only,homology,<30%,Smin,26,ok,5,2.518836468458176,0.0,2.518836468458176,2.518836468458176,2.518836468458176
test,cellular_component,GAT,struct_only,homology,>=60%,Smin,31,ok,5,94.73271915476876,0.4309397394817305,94.9254412651062,93.961830713419,94.9254412651062
test,cellular_component,GAT,struct_only,homology,no_hit,Smin,612,ok,5,27.949126152084755,0.31692621559034695,28.09085986446711,27.38219130255534,28.09085986446711
test,cellular_component,GAT,struct_only,ic,2-4_bits,Smin,71,ok,5,13.008720531837577,0.530868822086262,13.246132286501602,12.05907351318148,13.246132286501602
test,cellular_component,GAT,struct_only,ic,4-6_bits,Smin,89,ok,5,26.354064584207578,0.6458140574075177,26.64288141084521,25.19879727765705,26.64288141084521
test,cellular_component,GAT,struct_only,ic,<2_bits,Smin,22,ok,5,2.549207931215113,0.0,2.549207931215113,2.549207931215113,2.549207931215113
test,cellular_component,GAT,struct_only,ic,>=6_bits,Smin,341,ok,5,55.92194633755022,0.836278248911403,56.2959413400843,54.42596632741391,56.2959413400843
test,cellular_component,GAT,struct_only,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,GCN,full,homology,30-40%,Smin,80,ok,5,26.626314296680125,0.4915413766082008,26.76251889347326,25.7713936615773,27.007173724472523
test,cellular_component,GCN,full,homology,40-60%,Smin,5,low support,5,38.77793757305521,1.5850018497165685,38.84419317540642,37.16422247333317,40.86636939048767
test,cellular_component,GCN,full,homology,<30%,Smin,26,ok,5,2.518836468458176,0.0,2.518836468458176,2.518836468458176,2.518836468458176
test,cellular_component,GCN,full,homology,>=60%,Smin,31,ok,5,94.93062792456587,0.010294971273408567,94.9266216249288,94.9254412651062,94.94901384275931
test,cellular_component,GCN,full,homology,no_hit,Smin,612,ok,5,28.01579733613796,0.12975830448002637,28.046628496326733,27.803251362152885,28.14340702915408
test,cellular_component,GCN,full,ic,2-4_bits,Smin,71,ok,5,18.923507262605135,2.851297358291608,18.682368992730545,15.130186475177371,22.81954209560237
test,cellular_component,GCN,full,ic,4-6_bits,Smin,89,ok,5,26.642881410845213,0.0,26.64288141084521,26.64288141084521,26.64288141084521
test,cellular_component,GCN,full,ic,<2_bits,Smin,22,ok,5,2.549207931215113,0.0,2.549207931215113,2.549207931215113,2.549207931215113
test,cellular_component,GCN,full,ic,>=6_bits,Smin,341,ok,5,55.51591327786112,0.34711016132368816,55.4637903537452,55.201637001376334,56.07117797430048
test,cellular_component,GCN,full,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,GCN,seq_only,homology,30-40%,Smin,80,ok,5,26.48367741876052,0.6295312485770725,26.79359337413929,25.62070136472831,27.007173724472523
test,cellular_component,GCN,seq_only,homology,40-60%,Smin,5,low support,5,37.244299114874664,2.7046894599942033,37.33902171169237,33.58172697053025,40.86636939048767
test,cellular_component,GCN,seq_only,homology,<30%,Smin,26,ok,5,2.518836468458176,0.0,2.518836468458176,2.518836468458176,2.518836468458176
test,cellular_component,GCN,seq_only,homology,>=60%,Smin,31,ok,5,81.77330537152345,18.14208894508058,94.9254412651062,59.25182400017336,94.98509415265036
test,cellular_component,GCN,seq_only,homology,no_hit,Smin,612,ok,5,28.05930929775871,0.26171338547386114,28.0266339978779,27.681775695284745,28.37392065890609
test,cellular_component,GCN,seq_only,ic,2-4_bits,Smin,71,ok,5,15.814629089703825,4.173623032789659,12.983861025669414,12.83580486362296,21.89413361565784
test,cellular_component,GCN,seq_only,ic,4-6_bits,Smin,89,ok,5,26.594038503195815,0.0875542899584758,26.64288141084521,26.441762466519386,26.645968122448085
test,cellular_component,GCN,seq_only,ic,<2_bits,Smin,22,ok,5,2.549207931215113,0.0,2.549207931215113,2.549207931215113,2.549207931215113
test,cellular_component,GCN,seq_only,ic,>=6_bits,Smin,341,ok,5,54.12401132872744,1.2185841376684625,53.990537853348485,52.63050680019386,55.36954990647243
test,cellular_component,GCN,seq_only,ic,no_positive_terms,Smin,231,no positive terms,0,,,,,
test,cellular_component,GCN,struct_only,homology,30-40%,Smin,80,ok,5,27.007173724472523,0.0,27.007173724472523,27.007173724472523,27.007173724472523
