Model,Ontology,N_seeds,Micro_Fmax_mean,Micro_Fmax_std,Micro_Fmax_se,Macro_Fmax_mean,Macro_Fmax_std,Macro_Fmax_se,Micro_AUROC_mean,Micro_AUROC_std,Micro_AUROC_se,Micro_AUPRC_mean,Micro_AUPRC_std,Micro_AUPRC_se,Smin_mean,Smin_std,Smin_se
DeepFRI_Seq,MF,5,0.3151360931567385,0.007592599843365904,0.0033955138751440832,0.38527498321026765,0.010929405774132817,0.004887778852927938,0.6559312261036654,0.002991090127336796,0.0013376561703107156,0.2290242926011496,0.008941175570299142,0.003998615274789866,28.902001193537437,0.5487866021082667,0.24542482949104272
DeepFRI_Cmap,MF,5,0.5811651879271635,0.006390094602538573,0.0028577371827861494,0.6131759562574027,0.0065312410927049706,0.0029208598121456637,0.7237818617945773,0.004748477389327895,0.002123583646431581,0.4683396581948799,0.009786302744208318,0.004376567636888507,18.74100628880784,0.24579747224849377,0.10992397132905002
DPFunc,MF,5,0.10484478493875263,0.005489810338604656,0.0024551178201402298,0.07813361506377062,0.0023634114073746793,0.0010569497131376461,0.6203044233022611,0.00948553613741503,0.004242060721258159,0.053962213395010825,0.0037205341736328925,0.0016638734649708307,35.375451916355374,0.5515236647993244,0.24664888113821942
BLAST,MF,5,0.8276096682026134,0.005548645011219049,0.002481429485620175,0.7996080611716481,0.004984730603913509,0.002229239295974837,0.8824458093339788,0.003963103083753994,0.0017723535794225945,0.8356520775377199,0.0052053994580220616,0.0023279254076355783,8.518119743846702,0.3204187405604422,0.14329561703160354
DIAMOND,MF,5,0.8476664475663439,0.007551498534087658,0.003377132810842003,0.8208911079814236,0.002193019850690386,0.0009807482924300284,0.8814202485319427,0.004485043253564843,0.0020057723193995626,0.8608900728432024,0.007058720253114692,0.003156755664023794,8.158190870452255,0.41950856889882016,0.18760993544028318
Naive,MF,5,0.17332015211852556,0.003266180499868043,0.0014606803248978372,0.04949692220660833,0.000859175118194129,0.00038423479377169774,0.7743333201456724,0.0025395064511130245,0.0011357018107975938,0.09506502199662623,0.002474467201548165,0.0011066153741510739,35.90173997331177,0.5134175852940807,0.22960732431227213
Hybrid,MF,5,0.8232630913947976,0.005607762062823053,0.0025078674348233583,0.8549756079834854,0.004831396475465192,0.002160666189078613,0.9509358463480609,0.008769770320137099,0.003921960516577329,0.8423478265457955,0.0018379305344966184,0.0008219475226113922,8.73620600409813,0.26844799552181464,0.12005359328206733
Hybrid_JK,MF,5,0.8144505201156729,0.009624360160452207,0.004304144711742383,0.8405357044199515,0.005910110561608785,0.0026430817940593402,0.9436266138366097,0.009004298426536994,0.004026844674286223,0.8277279683958467,0.007902499021777216,0.0035341050009638887,9.40815681873109,0.42281666735296414,0.18908936204422877
TransFun,CC,5,0.28141065573345214,0.009513762785453414,0.0042546840620163165,0.3417090113421689,0.014569652503396199,0.006515746681228777,0.7284896323325298,0.008771924508385799,0.003922923898849414,0.16792554767282689,0.009058523757199117,0.0040510949793788045,14.295466146936807,0.41991929610958156,0.18779361823297747
DeepFRI_Seq,CC,5,0.23012282893838232,0.01014760458145439,0.004538146730584063,0.23427108347067138,0.002387414776691286,0.001067684346233839,0.7650847135519865,0.0032686591620021883,0.001461788816302878,0.15313984333580585,0.012657814556842176,0.005660746759137096,14.781634639866713,0.3896745248669772,0.17426774534049863
DeepFRI_Cmap,CC,5,0.36754183881806735,0.012113580296421468,0.005417357798740091,0.36728984849750096,0.017457156893120128,0.007807077901379127,0.810013402827672,0.003292390435095663,0.0014724017642688022,0.3053214591945067,0.01574060741580284,0.007039413637774489,13.088262113311691,0.5079841240797826,0.2271774065866163
DPFunc,CC,5,0.09181894907581474,0.004568639780795494,0.0020431578229136924,0.07937140183822602,0.0033882300354101057,0.001515262536516703,0.6067335278546377,0.003435971646945237,0.0015366132342662913,0.04040511251026664,0.001999929736644276,0.0008943957682719706,16.698638262251205,0.733798434216794,0.3281646361383318
BLAST,CC,5,0.6123988047120592,0.0035107226542831355,0.0015700429010251167,0.5507897914049507,0.018084537579487345,0.008087651073876642,0.7667118048203483,0.0015497018794444822,0.0006930477494594092,0.6295541911441809,0.005392481405049967,0.002411590997819061,8.617375243604656,0.37740219778412204,0.16877939382062346
DIAMOND,CC,5,0.6027545578369875,0.015793873172943094,0.00706323480854221,0.5653765669188331,0.015486613029650112,0.006925823895106323,0.7513884864059686,0.010807243371924239,0.0048331461658013275,0.6315509409300899,0.014145935277357682,0.006326254577096823,8.93070223816255,0.5671193848920076,0.25362349919527927
Naive,CC,5,0.17626553760195923,0.0025471845265876056,0.0011391355505371013,0.048147827145663,0.002426336361042634,0.0010850906079141603,0.7654707952412159,0.004693242346871246,0.002098881784496951,0.10489123686102027,0.002238826750879708,0.0010012337609624027,16.035783229342066,0.46490735254944665,0.20791288870800456
Hybrid,CC,5,0.6134554711970195,0.003848391184205438,0.0017210528583788548,0.6185622066367975,0.015452348467985296,0.006910500317285971,0.8827862512558324,0.013863855534508737,0.006200104681079643,0.6027038074599684,0.020299745270610587,0.009078322070203027,8.824718012841938,0.08932177068089633,0.03994591022262638
Hybrid_JK,CC,5,0.6037255059821115,0.011471017304174698,0.005129994892642201,0.6250642841600587,0.008991182720648184,0.004020979152298168,0.8750965574873948,0.01818117311434587,0.008130867798873785,0.5765725691318165,0.02146221852747967,0.009598195915079995,9.019062950970294,0.23864000839679309,0.10672305618526999
