trial,ontology,learning_rate,weight_decay,dropout,hidden_dim,batch_size,loss,patience,focal_gamma,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin
trial_028,biological_process,5.7099198475444227e-05,9.216769587809256e-06,0.4,512,16,Focal,10,2.0,0.30642737158478883,,,,,,
trial_028,cellular_component,5.7099198475444227e-05,9.216769587809256e-06,0.4,512,16,Focal,10,2.0,0.48181777915527807,,,,,,
trial_028,molecular_function,5.7099198475444227e-05,9.216769587809256e-06,0.4,512,16,Focal,10,2.0,0.42148350285239794,,,,,,
trial_029,biological_process,0.00010742762251701915,3.644636808320287e-05,0.0,128,32,BCE,9,,0.27707029812245315,,,,,,
trial_029,cellular_component,0.00010742762251701915,3.644636808320287e-05,0.0,128,32,BCE,9,,0.48189070009364754,,,,,,
trial_029,molecular_function,0.00010742762251701915,3.644636808320287e-05,0.0,128,32,BCE,9,,0.341713834407838,,,,,,
trial_030,biological_process,0.0006476003050484653,1.1781606908753708e-06,0.0,128,16,Focal,10,1.0,0.26693315567352005,,,,,,
trial_030,cellular_component,0.0006476003050484653,1.1781606908753708e-06,0.0,128,16,Focal,10,1.0,0.4666724829867623,,,,,,
trial_030,molecular_function,0.0006476003050484653,1.1781606908753708e-06,0.0,128,16,Focal,10,1.0,0.3707548234227205,,,,,,
trial_031,biological_process,6.754786500068957e-05,0.0049148744685445535,0.2,256,64,Focal,8,2.0,0.31824107065224133,,,,,,
trial_031,cellular_component,6.754786500068957e-05,0.0049148744685445535,0.2,256,64,Focal,8,2.0,0.4733097566044523,,,,,,
trial_031,molecular_function,6.754786500068957e-05,0.0049148744685445535,0.2,256,64,Focal,8,2.0,0.3898995384192933,,,,,,
trial_032,biological_process,0.0024927698253494465,1.9372480269816345e-05,0.1,128,16,Focal,8,2.0,0.17596668086468537,,,,,,
trial_032,cellular_component,0.0024927698253494465,1.9372480269816345e-05,0.1,128,16,Focal,8,2.0,0.4658847827685614,,,,,,
trial_032,molecular_function,0.0024927698253494465,1.9372480269816345e-05,0.1,128,16,Focal,8,2.0,0.2434574272018725,,,,,,
trial_033,biological_process,0.0027705153087256443,4.5960195338023743e-07,0.2,128,64,Focal,9,3.0,0.22835876442081415,,,,,,
trial_033,cellular_component,0.0027705153087256443,4.5960195338023743e-07,0.2,128,64,Focal,9,3.0,0.47571894211279947,,,,,,
trial_033,molecular_function,0.0027705153087256443,4.5960195338023743e-07,0.2,128,64,Focal,9,3.0,0.28436820487991055,,,,,,
trial_034,biological_process,0.0004128269539431168,0.000597538950912109,0.0,512,32,BCE,8,,0.28824049513665323,,,,,,
trial_034,cellular_component,0.0004128269539431168,0.000597538950912109,0.0,512,32,BCE,8,,0.4646732909010992,,,,,,
trial_034,molecular_function,0.0004128269539431168,0.000597538950912109,0.0,512,32,BCE,8,,0.3988276956888452,,,,,,
trial_035,biological_process,0.0003493547910080384,0.0006220349210377709,0.0,256,32,BCE,9,,0.32592339261244435,,,,,,
trial_035,cellular_component,0.0003493547910080384,0.0006220349210377709,0.0,256,32,BCE,9,,0.4735672622900304,,,,,,
trial_035,molecular_function,0.0003493547910080384,0.0006220349210377709,0.0,256,32,BCE,9,,0.41937057818930806,,,,,,
trial_036,biological_process,0.0017191305740823345,3.436940900365306e-05,0.4,128,64,Focal,10,2.0,0.22456593485387227,,,,,,
trial_036,cellular_component,0.0017191305740823345,3.436940900365306e-05,0.4,128,64,Focal,10,2.0,0.46162608571787117,,,,,,
trial_036,molecular_function,0.0017191305740823345,3.436940900365306e-05,0.4,128,64,Focal,10,2.0,0.2947939059720324,,,,,,
trial_037,biological_process,0.0022125796473720662,7.05402203329558e-07,0.1,128,32,Focal,10,1.0,0.21748523692879937,,,,,,
trial_037,cellular_component,0.0022125796473720662,7.05402203329558e-07,0.1,128,32,Focal,10,1.0,0.458494990406663,,,,,,
trial_037,molecular_function,0.0022125796473720662,7.05402203329558e-07,0.1,128,32,Focal,10,1.0,0.2509825427286984,,,,,,
trial_038,biological_process,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,9,1.0,0.3312208138754888,,,,,,
trial_038,cellular_component,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,9,1.0,0.47107475165140855,,,,,,
trial_038,molecular_function,9.797689898677196e-05,3.416407231298862e-05,0.4,512,64,Focal,9,1.0,0.382567164178608,,,,,,
trial_039,biological_process,1.1367800287905772e-05,0.00011016580941565195,0.2,128,32,Focal,9,2.0,0.23978956112369698,,,,,,
trial_039,cellular_component,1.1367800287905772e-05,0.00011016580941565195,0.2,128,32,Focal,9,2.0,0.4706219547143224,,,,,,
trial_039,molecular_function,1.1367800287905772e-05,0.00011016580941565195,0.2,128,32,Focal,9,2.0,0.03744812276758032,,,,,,
