ontology,model,input,metric,seeds,mean,sd,median,q1,q3,minimum,maximum
biological_process,MLP,seq_only,Micro_AUROC,5,0.8254548901327645,0.012947545312565445,0.8234705655283666,0.8202045632273676,0.8347359380922238,0.8078362027422855,0.8410271810735792
biological_process,MLP,seq_only,Micro_Fmax,5,0.1474574949919692,0.023271198998407763,0.1418457282802802,0.1366719704899961,0.16885414381484312,0.1171364037700981,0.1727792286046284
biological_process,MLP,seq_only,Smin,5,97.9388076641834,1.8878945474545457,99.13065374931469,96.54752747536111,99.2239074614596,95.31515657127835,99.47679306350325
biological_process,MLP,struct_only,Macro_AUPRC,5,0.487259746004076,0.003228552435252464,0.48808796156931,0.48539628691157183,0.4881682876796492,0.48303927224625104,0.491606921613598
biological_process,MLP,struct_only,Macro_AUROC,5,0.49926969768280943,0.0029212360807145746,0.5001959758894495,0.49914328561594534,0.5006161314247274,0.4943791975996598,0.5020138978842649
biological_process,MLP,struct_only,Macro_Fmax,5,0.05211339730949349,0.0009352167432851656,0.05211550178712608,0.051836577365415734,0.052541328129774696,0.05076654842356313,0.0533070308415878
biological_process,MLP,struct_only,Micro_AUPRC,5,0.025685333069753298,0.004692219748877961,0.023425954076369705,0.02273507696406642,0.026814896208091105,0.022039443721895306,0.03341129437834395
biological_process,MLP,struct_only,Micro_AUROC,5,0.7085147011078038,0.01848432299335811,0.7095933728922889,0.6964616873262338,0.7169190658517144,0.6858590718041434,0.7337403076646387
biological_process,MLP,struct_only,Micro_Fmax,5,0.07854112799314938,0.013867798228418961,0.0786742456058028,0.06909761119519096,0.07981399598630387,0.0645856838118235,0.10053410336662577
biological_process,MLP,struct_only,Smin,5,101.03886423818534,0.03762446072183371,101.0556904085435,101.0556904085435,101.0556904085435,100.97155955675271,101.0556904085435
cellular_component,GAT,full,Macro_AUPRC,5,0.12719347872931097,0.01825378728611984,0.12145953326481938,0.1183304784861578,0.13967550286910765,0.10519302629453502,0.15130885273193506
cellular_component,GAT,full,Macro_AUROC,5,0.5022680782186312,0.0399717182917242,0.5216952661962966,0.4709505700119608,0.5350062289438966,0.4485795783274768,0.5351087476135253
cellular_component,GAT,full,Macro_Fmax,5,0.1985507124689844,0.019909223138856687,0.19627443798709587,0.18420343191734512,0.2135456878531107,0.1754034982025494,0.22332650638482082
cellular_component,GAT,full,Micro_AUPRC,5,0.06750005302742006,0.009771954846078002,0.06691376175759177,0.060715550535048186,0.07289004174462507,0.056149924324554276,0.08083098677528099
cellular_component,GAT,full,Micro_AUROC,5,0.6543425496827113,0.026268751468998645,0.6669348572099274,0.6431993358032863,0.6672468815634081,0.6139399464334152,0.68039172740352
cellular_component,GAT,full,Micro_Fmax,5,0.13518767046786084,0.009358714330949796,0.1362888561421642,0.13524143481975534,0.13711352800866985,0.12059598283336172,0.14669855053535305
cellular_component,GAT,full,Smin,5,29.70692342068532,0.26847494638459174,29.82093175208293,29.543264603077958,29.926645105255062,29.317098259503794,29.926677383506842
cellular_component,GAT,seq_only,Macro_AUPRC,5,0.1525786875685013,0.058782361421577806,0.13809493141227377,0.11727439589348404,0.14958488608856532,0.10493121948605043,0.25300800496213294
cellular_component,GAT,seq_only,Macro_AUROC,5,0.540881799445963,0.10185089814633619,0.561153596884316,0.45749948539247615,0.5616115253467985,0.4340037004380713,0.6901406891681534
