trial,ontology,learning_rate,weight_decay,dropout,hidden_dim,batch_size,gradient_clip,patience,loss,focal_gamma,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin
trial_009,cellular_component,0.0017270869909095407,4.137739106923979e-05,0.1,128,32,0.5,9,Focal,1.0,0.4318027441918901,0.36246321562737494,0.33011051124652724,0.25834480907682306,0.8250008653896688,0.6549261144038449,31.764635610005598
trial_009,molecular_function,0.0017270869909095407,4.137739106923979e-05,0.1,128,32,0.5,9,Focal,1.0,0.20734996628408606,0.2990916033369124,0.14635478670708002,0.21577659517890985,0.8576901016889007,0.7260708474486145,27.15333826355975
trial_010,biological_process,7.281839130793804e-05,0.003763327697269404,0.1,256,32,5.0,10,Focal,2.0,0.31276077885912246,0.264930472749294,0.2535914416990976,0.20420773582282922,0.8062480807640418,0.6398460423072454,39.91337921499643
trial_010,cellular_component,7.281839130793804e-05,0.003763327697269404,0.1,256,32,5.0,10,Focal,2.0,0.46571182336717126,0.36284554319974666,0.41486252879617336,0.2740654095654603,0.8054355630431531,0.6922025432615126,28.49380249141345
trial_010,molecular_function,7.281839130793804e-05,0.003763327697269404,0.1,256,32,5.0,10,Focal,2.0,0.40056928451238866,0.3407044629794999,0.29340038318647815,0.27535636543842074,0.7967201312426999,0.7045187468469524,24.391792455142188
trial_011,biological_process,0.0003377348785134729,8.266805481657407e-06,0.4,512,16,1.0,8,BCE,,0.29741261915532197,0.2838523027273993,0.24077241010541506,0.21966963802246617,0.8439978485669865,0.6832947045546165,40.2608275276887
trial_011,cellular_component,0.0003377348785134729,8.266805481657407e-06,0.4,512,16,1.0,8,BCE,,0.4503678789147835,0.33244693442368534,0.3958228302283585,0.24211346935867262,0.7954286233875002,0.6402371635868549,30.865905621115715
trial_011,molecular_function,0.0003377348785134729,8.266805481657407e-06,0.4,512,16,1.0,8,BCE,,0.329761904761408,0.3632111125695734,0.25896127911385536,0.29573647106845896,0.8215513921954093,0.7804773679256871,25.56063938863193
trial_012,biological_process,2.0587903331906216e-05,0.00019302681376769982,0.4,128,64,1.0,8,Focal,1.0,0.11300741143623845,0.1838370104788312,0.04855561539960439,0.1152445957486789,0.6963002865463286,0.6529051983019637,48.197009718664894
trial_012,cellular_component,2.0587903331906216e-05,0.00019302681376769982,0.4,128,64,1.0,8,Focal,1.0,0.24399502585200886,0.27101251279772665,0.14888402608665713,0.19163356959443667,0.7228767330456976,0.5978637084835229,33.54714262835696
trial_012,molecular_function,2.0587903331906216e-05,0.00019302681376769982,0.4,128,64,1.0,8,Focal,1.0,0.18591987553431832,0.25919171624158077,0.13065537467578364,0.18850464764899505,0.8413256731857495,0.7119228416741111,27.93410349916842
trial_013,biological_process,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,5.0,9,BCE,,0.3027160493822809,0.2812506676575718,0.23121242924262053,0.21629974773641766,0.8108143984828521,0.6888981577074205,40.25616485844009
trial_013,cellular_component,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,5.0,9,BCE,,0.4032803853651634,0.343570010751486,0.3224455391208675,0.2698492357204282,0.7292845385075395,0.6418422837630456,29.481012808293187
trial_013,molecular_function,2.0306852485333567e-05,2.8063391884062294e-06,0.0,512,16,5.0,9,BCE,,0.35093033318859584,0.34793467644407317,0.2888133663681299,0.28773364474935625,0.8191443180564661,0.7426279285705654,25.351617535191355
trial_014,biological_process,5.462490060476474e-05,1.0333998491320167e-07,0.2,512,32,5.0,10,Focal,1.0,0.3107841650230419,0.2895463354728342,0.245313290626212,0.22188439700125545,0.816514979980746,0.6890690754998746,39.578486369594714
trial_014,cellular_component,5.462490060476474e-05,1.0333998491320167e-07,0.2,512,32,5.0,10,Focal,1.0,0.46121649300867285,0.39267418058678466,0.3846963615624276,0.2904230770253833,0.7863919390657867,0.6737886802836989,28.470037016742292
